App Name,Date,Attribute,Data Point Count
Canva - WebApp,2021-07-20 00:00:00 +0000,product_variant,29
Canva - WebApp,2021-07-20 00:00:00 +0000,brand,26
Canva - WebApp,2021-07-20 00:00:00 +0000,experience,66
Canva - WebApp,2021-07-20 00:00:00 +0000,current_subscription,31
Canva - WebApp,2021-07-20 00:00:00 +0000,displayName,51
Canva - WebApp,2021-07-20 00:00:00 +0000,roles,51
Canva - WebApp,2021-07-20 00:00:00 +0000,user_journey,11
Canva - WebApp,2021-07-20 00:00:00 +0000,signup_referrer,11
Canva - WebApp,2021-07-20 00:00:00 +0000,signup_category,9
Canva - WebApp,2021-07-20 00:00:00 +0000,[Amplitude] Cohort,5
Canva - WebApp,2021-07-20 00:00:00 +0000,__user,1
Canva - WebApp,2021-07-20 00:00:00 +0000,Most recent browser,1
Canva - WebApp,2021-07-20 00:00:00 +0000,timezone,1
Canva - WebApp,2021-07-20 00:00:00 +0000,Unsupported,3
Canva - WebApp,2021-07-20 00:00:00 +0000,Experiment_AATST,5
Canva - WebApp,2021-07-20 00:00:00 +0000,Experiment_ABEN2,4
Canva - WebApp,2021-07-20 00:00:00 +0000,Experiment_ANFAV,1
Canva - WebApp,2021-07-20 00:00:00 +0000,Experiment_ACTA,3
Canva - WebApp,2021-07-20 00:00:00 +0000,Experiment_ACBRH,1
Canva - WebApp,2021-07-19 00:00:00 +0000,locale,77
Canva - WebApp,2021-07-19 00:00:00 +0000,product_variant,24
Canva - WebApp,2021-07-19 00:00:00 +0000,brand,20
Canva - WebApp,2021-07-19 00:00:00 +0000,Experiment_AATST,9
Canva - WebApp,2021-07-19 00:00:00 +0000,experience,61
Canva - WebApp,2021-07-19 00:00:00 +0000,current_subscription,38
Canva - WebApp,2021-07-19 00:00:00 +0000,displayName,46
Canva - WebApp,2021-07-19 00:00:00 +0000,roles,41
Canva - WebApp,2021-07-19 00:00:00 +0000,Experiment_ABEN2,5
Canva - WebApp,2021-07-19 00:00:00 +0000,user_journey,11
Canva - WebApp,2021-07-19 00:00:00 +0000,signup_referrer,6
Canva - WebApp,2021-07-19 00:00:00 +0000,signup_category,4
Canva - WebApp,2021-07-19 00:00:00 +0000,signupSegment,2
Canva - WebApp,2021-07-19 00:00:00 +0000,Most recent browser,2
Canva - WebApp,2021-07-19 00:00:00 +0000,timezone,2
Canva - WebApp,2021-07-19 00:00:00 +0000,countryCode,2
Canva - WebApp,2021-07-19 00:00:00 +0000,Experiment_ACTA,2
Canva - WebApp,2021-07-19 00:00:00 +0000,Experiment_ANFAV,2
Canva - WebApp,2021-07-18 00:00:00 +0000,signup_referrer,11
Canva - WebApp,2021-07-18 00:00:00 +0000,displayName,29
Canva - WebApp,2021-07-18 00:00:00 +0000,roles,27
Canva - WebApp,2021-07-18 00:00:00 +0000,locale,45
Canva - WebApp,2021-07-18 00:00:00 +0000,current_subscription,18
Canva - WebApp,2021-07-18 00:00:00 +0000,experience,42
Canva - WebApp,2021-07-18 00:00:00 +0000,signup_category,5
Canva - WebApp,2021-07-18 00:00:00 +0000,user_journey,10
